author,comment,published_at
@Nalgita97,Check the hot toy on sideshow to see the mask,2024-06-28T14:52:30Z
@DimaTerekhov-ns5qc,"Let&#39;s begin,  ♥️ x 💛= 💯",2024-06-28T13:59:06Z
@hannahmatthews8807,i love my bubba !!!!,2024-06-28T13:42:09Z
@PugsRSoCool101,LFG,2024-06-28T12:19:55Z
@sunnyhussain5205,What song is this?,2024-06-28T12:12:28Z
@Mango-s3d,Bro if you put it on 0.25x speed its too funny😂😂😂,2024-06-28T11:42:19Z
@judithtjed,I just pre ordered. I am going to see it 24 th july,2024-06-28T10:58:50Z
@Nayeon4eva,LETS FKIN GO!,2024-06-28T10:27:52Z
@JoseMarquez-em5wi,Deadpool and Wolverine. The movie that could actually save the MCU . Just a few more weeks away. Can’t imagine what the after credits scenes are gonna be <br>❤️💛,2024-06-28T07:26:41Z
@joshuabittinger6525,It&#39;ll be epic 😂,2024-06-28T06:29:27Z
@RowanComesFlying,I just realized that tj Miller has n̈ot been seen in the new Deadpool movie tf,2024-06-28T06:13:55Z
@uddiptasaikia8699,"<a href=""https://www.youtube.com/watch?v=73_1biulkYk&amp;t=58"">0:58</a>",2024-06-28T04:52:22Z
@Duality-Games,The one and only wolverine,2024-06-28T04:39:24Z
@lavishsf7691,"New Theory that lines up pretty well, What if Lady Deadpool is from this Wolverines world and she is an Avenger. If you turn the volume all the way up as soon as the trailer starts you can hear someone say “One of the Avengers just walked in here” and that lines up because Wade just approaches Logan, and he sees the suit and automatically thought it was Wanda Wilson hence why he said Lady, he probably thought “She” was tryna recruit him to the Avengers.",2024-06-28T01:58:35Z
@motogeee510,Why does this suit not have the red an black buckle on wolfboi? An I think he is from the same planet as the thunder cats ! Puns intended feel free dredgepool in using this as a line in up an coming movie,2024-06-28T01:10:17Z
@barcelonaforum8725,Is this abba?,2024-06-27T23:55:49Z
@ForgottenC2890,"<a href=""https://www.youtube.com/watch?v=73_1biulkYk&amp;t=112"">1:52</a> is that ant man, and <a href=""https://www.youtube.com/watch?v=73_1biulkYk&amp;t=132"">2:12</a> is that a dr strange portal?",2024-06-27T21:22:00Z
@Hoboken90,this trailer is so american,2024-06-27T16:59:05Z
@maninderjeetsingh7920,Is that bald lady is The Ancient One,2024-06-27T15:20:44Z
@Red-Ranger-November-1994,"<a href=""https://www.youtube.com/watch?v=73_1biulkYk&amp;t=128"">2:08</a>",2024-06-27T15:09:32Z
@TheRealWalkingJourney,2024 or 2025?,2024-06-27T14:21:05Z
@joaopauloleonidasfernandes5884,Birthday present!!!🎉🎉🎉,2024-06-27T09:26:55Z
@user-fx9th7mi9c,To many swear words and rude fighting but apart from that looks super funny,2024-06-27T09:02:16Z
@christopherwood12,Thing is this film will be brilliant but they are still gonna completely f up the mcu,2024-06-27T02:40:56Z
@lordtenazas,The girl is gorgeous...,2024-06-27T02:20:30Z
@KKForwarder,"Jesus, I am soooooooo looking forward to this one.",2024-06-27T01:46:56Z
@chrislame6891,Lol it&#39;s so perfect I&#39;m glad we&#39;re all happy,2024-06-27T00:21:06Z
@ThirdOfJune4444,This...is...BY FAR...the <b>BEST BEST BEST</b> movie trailer song in history!  I can&#39;t stop watching this just for the song!  It&#39;s Madonna&#39;s &quot;The Immaculate Remix&quot; of &quot;Like A Prayer&quot;.  Just blows me away!  I&#39;m certain Madonna is earning her millions in royalties just from this trailer!  😀,2024-06-26T22:47:49Z
@StalkerVR88,They know all the slang words for it!! Lol,2024-06-26T21:33:10Z
@baconwithshades-kn6sk,"<a href=""https://www.youtube.com/watch?v=73_1biulkYk&amp;t=57"">0:57</a>💀",2024-06-26T21:21:12Z
@Toneai2007,"I still can&#39;t get past the half buried 20th Century Fox logo at <a href=""https://www.youtube.com/watch?v=73_1biulkYk&amp;t=34"">0:34</a>.",2024-06-26T20:46:48Z
@ThristianSilas,I don’t know who is the main villain in this movie but we have to wait and see. I bet Francis in this movie.,2024-06-26T19:56:15Z
@ThristianSilas,"do you know when people say what where the character die in the movie we don’t know what is true or false so maybe they could be lying but we had to wait and see maybe a fan is in this movie or toby, Maguire Spider-Man",2024-06-26T19:55:40Z
@ThristianSilas,"<a href=""https://www.youtube.com/watch?v=73_1biulkYk&amp;t=126"">2:06</a> let’s freaking go indeed",2024-06-26T19:54:52Z
@quijr816,"<a href=""https://www.youtube.com/watch?v=73_1biulkYk&amp;t=113"">1:53</a> is that Johann Schmidt&#39;s (Red Skull) car?",2024-06-26T14:34:29Z
@Venom94.,Wow can’t wait for everyone to love this for a weekend then call it the worst movie ever.,2024-06-26T14:04:46Z
@jonathan19947,Can&#39;t wait to watch this since I saw the trailer when it first came out.,2024-06-26T09:41:13Z
@hanatakanashi312,Pleasr just make them meet avenger,2024-06-26T07:16:43Z
@RyujinRoot,i like the costume with sleeves,2024-06-26T05:10:20Z
@miguelgarces7693,Wolverine y Deadpool,2024-06-26T04:58:08Z
@knullissus,This is gonna break the internet,2024-06-26T02:07:35Z
@deadheads1352,Great. More Disney girlbosses,2024-06-25T23:34:13Z
@CookieBlunt101,1 month left🗣️🔥,2024-06-25T22:39:29Z
@oussamaplaysyt90,Can someone explain how logan still alive while being dead at the end of logan’s movie?,2024-06-25T21:44:24Z
@MAJIN725,The best duo,2024-06-25T20:30:51Z
@slicerdice4085,"ALOITH FROM LOKI!!! <a href=""https://www.youtube.com/watch?v=73_1biulkYk&amp;t=111"">1:51</a>",2024-06-25T20:14:04Z
@nocturnalsimulacrum6385,Jumping through dead antmans skull that&#39;s....confusing but I&#39;ll watch 😂,2024-06-25T19:05:06Z
@elvingarcia3010,<b>From the same studio that killed THE AVENGERS and IRON MAN.</b>,2024-06-25T19:01:09Z
@selavie5473,Jackman looks the most he&#39;s ever looked like wolverine woohooooo,2024-06-25T18:15:12Z
@David-xc4we,"Already ordered my tickets, gonna see it in July 26 with my bestie 😊",2024-06-25T18:14:52Z
@drelahnniedikhoff8005,Cgi Arms!!!,2024-06-25T17:32:11Z
@bohne8746,the movie we need,2024-06-25T14:33:14Z
@Jgamingboy2,OmG it’s finally 🎉🎉😂,2024-06-25T12:18:46Z
@RiickyMapper,Wats actually going on in this trailer they just kept walking in slow motion talking about what again?😢😅,2024-06-25T11:49:07Z
@twilight1315,dayum,2024-06-25T10:15:51Z
@dariodelatorrebrito7519,Same crap in every superhero movies,2024-06-25T09:37:13Z
@hartmanus94,This is the worst haircut and beard Logan had so far. Even X Men 3 did it better.,2024-06-25T08:43:44Z
@whylerplane5440,Edgar’s are buying all the tickets but Navajos are beyond hyped excited 🎉🎉🎉,2024-06-25T08:09:19Z
@nitrozconcepts,"<a href=""https://www.youtube.com/watch?v=73_1biulkYk"">0:00</a> Reminds me in Issue 1 of Marvel X Fortnite Zero War",2024-06-25T05:25:49Z
@algery4678,"im not really a fan of wolverine or x man but the image he put on the movie was either tragic, dramatic, or barbaric, at least on my head. i have never associated with the comedic genre such as Deadpool.<br>well aside from that,  wasnt he supposed to finally die in the last wolverine and that laura girl movie? im confused",2024-06-25T05:17:00Z
@adambriggs626,The yellow wolverine costume 🤌🏻,2024-06-25T02:14:43Z
@noobmaster69426,Haven’t been this excited since NWH,2024-06-25T01:20:55Z
@kristalynwhitmire,"<a href=""https://www.youtube.com/watch?v=73_1biulkYk&amp;t=110"">1:50</a> WHAT THE HECK DID YALL DO TO SCOTT?!!!!????!?!",2024-06-24T22:57:27Z
@Pinbacker87,"Deadpool rarely compliments<br><br>To say wolverine wasn&#39;t just an x men but the x man. We all know it&#39;s true, wolverines job is to save the world.",2024-06-24T19:10:03Z
@efecicek6255,Will Haruncan dub this too?,2024-06-24T14:56:21Z
@user-uh2ef8gx9f,I look it in WhatsApp Marvel blog,2024-06-24T13:11:48Z
@theepicenter4106,Giantman and Strange.. all love,2024-06-24T09:16:43Z
@davidgarcia2861,Thank God it&#39;s R rated. Thank-you disney for letting this happen.🎉🎉😊,2024-06-24T08:30:00Z
@marvelfan780,"Omfg, they literally destroyed fox studios logo at <a href=""https://www.youtube.com/watch?v=73_1biulkYk&amp;t=55"">0:55</a> 😂😂😂",2024-06-24T07:40:45Z
@thejustinjustin1233,Movies like Deadpool will make me want to see marvel movies no longer be pg-13,2024-06-24T06:49:33Z
@ratkoperic,"I don’t remember being so excited about Marvel movie (maybe Endgame). Please god, don’t let them f*** this up",2024-06-24T06:33:53Z
@bebapapadapoppapapadapop7155,"Lol, ketchup and mustard 😂",2024-06-23T23:19:35Z
@WorldofGames-S.ds4g,"What if Deadpool meets Loki,!!!!..............................................",2024-06-23T23:00:58Z
@Cr4zyt0e,You know what.... LFG.,2024-06-23T15:42:22Z
@Feral_Sage,Maybe Disney will learn something from this? Maybe just false hope 😅,2024-06-23T15:40:20Z
@Divine679,Less goo!!!,2024-06-23T08:00:51Z
@TranquilRiceman,&quot;Do you wanna watch Deadpool &amp; Wolverine?&quot;<br><br>&quot;Yes! But I can&#39;t!&quot;,2024-06-23T03:39:53Z
@bearlydementor526,"Fvck yes!, I&#39;ve been waiting for this",2024-06-23T01:25:02Z
@mashinaizec,Nick Noltes gonna be great as a Deadpool !,2024-06-23T00:47:34Z
@TheOtterHero13456,DeadPool: Hi Peanut,2024-06-23T00:36:00Z
@Dav1dAkiWithA1,CGI Wolverine arms?,2024-06-22T20:42:37Z
@brt1strrbb110,Wolverine is gonna be ripped out of the portal and die.,2024-06-22T20:21:26Z
@Ogokao,"I smell that the movie will be 1 hour and 45 min walking and Talking , 10 minutes fights , 5 min post/end credit scene and 5 min cast credits! OFC i really wish it doesnt be like that",2024-06-22T19:06:21Z
@mushroom.king5,This is the coolest thing I have ever seen,2024-06-22T13:13:42Z
@user-bj9yg4hy5o,"Looking Forward to watching this film in the cinemas on the first day, first show in India, I have a feeling that this will become the highest R-Rated Film in history.",2024-06-22T06:05:17Z
@thehandleiwantedwasntavailable,"I’ve never watched any these marvel type films, however this was an entertaining trailer.",2024-06-22T05:50:58Z
@alexkalonov,I’m glad they introduced Madonna’s classic song ‘Like a Prayer’ to the new generation.,2024-06-22T04:38:34Z
@mrrandom1265,I really want to watch it but I&#39;ll boycott this racist company.,2024-06-22T03:27:07Z
@akashdeswal1485,Not even close to Kalki,2024-06-21T23:11:44Z
@ahmet56743,Can&#39;t wait,2024-06-21T22:58:25Z
@lilzae4848,Man im upset wolverine doesn&#39;t wear his dam mask,2024-06-21T19:51:55Z
@SOURIZZ_,LFG,2024-06-21T19:19:03Z
@Novella47,Female antogonist with everyone&#39;s powers incoming.,2024-06-21T15:33:29Z
@sabrinamartinez2946,Rip ant man 🐜,2024-06-21T10:58:37Z
@odinson99m,&quot;I don&#39;t know anything about saving worlds! But you do!&quot;  LET&#39;S F&#39;N GO!!!!!,2024-06-21T07:11:12Z
@souravmal606,I love madona,2024-06-21T05:55:03Z
@LeeFeather,"<a href=""https://www.youtube.com/watch?v=73_1biulkYk&amp;t=139"">2:19</a> 🧂👃English Breakfast",2024-06-21T03:03:44Z
@LeeFeather,Gimme Keanu Reeves as the Legendary son of Sparda.<br>Dante...Before he passes plz😅,2024-06-21T03:00:39Z
@LeeFeather,"<a href=""https://www.youtube.com/watch?v=73_1biulkYk&amp;t=121"">2:01</a> Reverse Charles Xavier🤣",2024-06-21T02:56:55Z
@johnbrysongaming6276,I see inspiration from Mad Max,2024-06-20T22:58:42Z
@alexandermann2913,"<a href=""https://www.youtube.com/watch?v=73_1biulkYk&amp;t=70"">1:10</a>",2024-06-20T22:50:08Z
@user-rt8vc7lw8v,Did he found blade too and Nate turned Harriet Tubman true,2024-06-20T22:46:03Z
@billykingofgames,The boys is making fun of Disney. South Park is making fun of Disney. Let&#39;s see if Disney has the chops to respond.,2024-06-20T22:00:06Z
@randomdude189,lol they are just going to spoof every property Fox owns,2024-06-20T21:01:52Z
@Iggym-ol4vm,"Deadpool &amp; Wolverine is rated R for strong bloody violence and language throughout, gore and sexual references.",2024-06-20T20:03:35Z
@Angyali,"<a href=""https://www.youtube.com/watch?v=73_1biulkYk&amp;t=71"">1:11</a>",2024-06-20T19:51:45Z
@ninetenduh,"Think about it, they have a fight, what is either trying to do XD They can&#39;t kill each other because of super healing. Though, Logan could win if he cuts off his arms, and legs.",2024-06-20T18:42:41Z
@qwevs,"Uhhh was that a SLING RING PORTAL at <a href=""https://www.youtube.com/watch?v=73_1biulkYk&amp;t=130"">2:10</a>???? Or am I just seeing things?",2024-06-20T17:24:15Z
@DreadnoughtDave,Why doesn&#39;t Facebook allow this trailer to be shared on their platform?,2024-06-20T16:58:09Z
@selinagarcia8172,I thought wolverine was dead,2024-06-20T13:04:18Z
@kimjongunvevo,They taught me all the slang terms,2024-06-20T12:08:12Z
@Nemo25599,What happened to Russell/firefist by the way,2024-06-20T11:30:41Z
@amirajzala2208,Name of Song in this train????,2024-06-20T11:23:25Z
@michaeljensen3548,Good god! I can not stop rewatching this! Can not wait for this!,2024-06-20T10:42:05Z
@TranquilRiceman,Whoever chooses the songs for Marvel trailers deserves a raise,2024-06-20T07:52:10Z
@radexu_borne4703,NOT THE BALL STAB,2024-06-20T06:51:14Z
@M4ver1ck88,Since bad boys made $1 billion lets see how much DP3 going to make that’s why they pushed it back LFG,2024-06-20T03:08:14Z
@amsmith4,"I just had a thought watching the Ant-Man Quantumania Trailer, what if Kang is pulling the strings here? I know the TVA is involved, which Kang rules. Marvel has specified that they won&#39;t get rid of Kang as the next major villain.",2024-06-20T02:40:53Z
@HomieBro420,They should have it were Thor goes on a mass working out spree and becomes insanely jacked and big and he will have the strength and durability like superman or homelander. They should also give him lighting vision like how they did in the one fight against hyper something but that was in the Norse mythology,2024-06-20T00:23:19Z
@viridian.vertigo,God the Deadpool series never disappoints 😭 WOLVERINE IS  WOLVERINE WE ARE SO BACK,2024-06-19T20:47:04Z
@seductiveraven4895,Am I the only one excited to see Cassandra Nova (Charles Xavier&#39;s twin sister) As the main antagonist?,2024-06-19T20:44:42Z
@perjalananwaktu7181,Wolverine: &quot;who are you?&quot;<br>Deadpool: &quot;I am basically you minus the claws&quot;,2024-06-19T16:56:39Z
@dineshpoonia1862,"<a href=""https://www.youtube.com/watch?v=73_1biulkYk&amp;t=14"">00:14</a> look lady😂😂",2024-06-19T16:49:53Z
@midlifecheesehead,LFG - THEY TOTALLY NEED TO MAKE MCU TV SHOW ON DEADPOOL WORKING FOR TVA AND PLAYING MARVEL JESUS - THE POSSIBILITIES!!!!,2024-06-19T14:47:59Z
@Punkrockfan001,They are making a PS5 exclusive game Wolverine. They NEED to make a Deadpool/Wolverine game exclusive for PS5 that would be AWESOME,2024-06-19T14:10:12Z
@housseinzhu2405,If only we could get deadpool and spiderman. But spider man just has to be family friendly,2024-06-19T13:38:29Z
@eugenemarquard5045,The smile when the gun faced his head...precious Amazing. Wolveriiiìiiñneeee,2024-06-19T10:11:07Z
@user-rh9sg6fn4s,that &quot;white girl interrupted&quot; got me 😂,2024-06-19T09:13:47Z
@akki_gamingzone,Release early we are loosing interest now,2024-06-19T08:48:57Z
@Beitownit,Madonna bought me here. 🏳️‍🌈,2024-06-19T08:41:32Z
@High.devontion,16 million views and less that 500k likes??? What in the world???,2024-06-19T02:48:42Z
@TheKingIgnacio,Ant-Man died,2024-06-19T00:35:15Z
@sergiohernandez7229,"<a href=""https://www.youtube.com/watch?v=73_1biulkYk&amp;t=151"">2:31</a> Frozen reference",2024-06-18T23:49:36Z
@RK19-89,This movie is what we needed!,2024-06-18T21:24:30Z
@sangra8561,Logan 2 Coming or not❤,2024-06-18T20:57:09Z
@remember387,"Oh, i love you",2024-06-18T15:30:58Z
@gamingmichang,Justice League vs Avengers movie is releasing soon and its officially confirmed.,2024-06-18T13:16:23Z
@gamingmichang,Justice League vs Avengers movie is releasing soon.,2024-06-18T13:14:32Z
@gamingmichang,Thunderbolts* is releasing soon and its officially confirmed.,2024-06-18T12:37:41Z
@VictoriaKempPhotos,"I Like an occasional f-bomb as much as the next person, but it&#39;s too much now. Netflix is full of it, movies are full of it. I will be disappointed if it&#39;s a verbal diarrhea of f@cks instead of a fun sprinkling.. I say this as someone who truly loves X-men, Wolverine and Deadpool.",2024-06-18T08:07:15Z
@Thrasher217,"YOU CAN SEE THE MASK <a href=""https://www.youtube.com/watch?v=73_1biulkYk&amp;t=112"">1:52</a> FOR HALF A SECOND",2024-06-18T02:57:35Z
@RJFox-wo9hd,are we supposed to watch all of Loki season 2 to understand all the easter eggs in this movie?. . .cuz I totally didn&#39;t finish that homework 😕,2024-06-18T01:51:59Z
@KenshinTV000,"Clearly the old marvel cast are saving the MCU like tobey, andrew, hugh and the other old characters.",2024-06-18T00:02:45Z
@RussellFlynnPhotography-bq8kh,"Movies should improve as they remake them, but for some reason.....",2024-06-17T23:33:05Z
@jasonwachtel3285,Like...gentlemen broncos. Beautiful.,2024-06-17T23:24:23Z
@laurenhunt9646,Well Hugh Jackman looks a lot better on this show then he did in his Logan movie,2024-06-17T20:57:37Z
@cfjackson123,Looking forward to the first good marvel movie since Deadpool 2!!!!,2024-06-17T20:55:58Z
@Sr2_Ares,Am really hoping they dont screw it up the best part about this its on the month of my birthday..,2024-06-17T20:27:05Z
@shriramv7145,Is there link to Antman and Dr. Strange?,2024-06-17T18:36:32Z
@tyrenblanch9739,Oh come on now wolverine Really needs to put his mask on just like in the classic comics books and cartoons  😮,2024-06-17T16:38:43Z
@jakeeugenio9596,I love how the “20th century fox” is burried deep in that snow 😂😂,2024-06-17T12:36:49Z
@wrongturn7865,tbh i watched it for more than 100 times and booked for imax lfg,2024-06-17T12:02:21Z
@sohanshah8366,Will wolverine wear his iconic mask I hope?,2024-06-17T10:23:06Z
@SummerToast5834,I feel like this is gonna be the last x men related movie where Wolverine plays a huge role for a long time and honestly I’ll take it!,2024-06-17T08:50:03Z
@devtel0912,Will Deadpool time travel to fix phase 4?,2024-06-17T08:41:09Z
@UnlimitedTimeLope,&quot;Do you wanna build a snowman?&quot;,2024-06-17T08:04:26Z
@premrajparate9775,"<a href=""https://www.youtube.com/watch?v=73_1biulkYk&amp;t=65"">1:05</a> That Was Not Wolverine It Was Huge To Ryan 😂😂😂",2024-06-17T05:02:44Z
@brendanjamieson83,For some reason this trailer reminds me of Gummo.,2024-06-17T01:54:17Z
@amitnautiyal4678,Awsome trailer,2024-06-17T01:11:35Z
@michaelwilt2999,"Of all the new movies, this one I&#39;ll pay to watch. The rest look like they totally suck.",2024-06-16T23:18:14Z
@damionwayne8701,I just realized its blurry around wolverine if u look closely around his shoulders like when he says &quot;come again&quot;,2024-06-16T19:49:06Z
@michaelfieldsend2693,Isn&#39;t Disney making this if so how do they go down hill and then do Deadpool perfect,2024-06-16T18:19:23Z
@PhoenixBlacke,Have to goto Marvel themselves to find a actual trailer instead of them stupid fan made scam trailers,2024-06-16T18:09:40Z
@godsfavoriet4316,"Spoiler alert, they going to the endgame fight",2024-06-16T14:28:47Z
@SourRobo8364,It&#39;s just so beautiful you know.,2024-06-16T14:24:55Z
@groundbreaker1052,"<a href=""https://www.youtube.com/watch?v=73_1biulkYk&amp;t=116"">1:56</a> notice the Face Of Logan In this Shot Is So Wierd wich Kinda Makes Me assume He Might Be Supporting A CGI&#39;D Wolverine Cowl Wich I really Hope That&#39;s indeed the case.😅",2024-06-16T12:17:58Z
@sergiumata5713,Im the comic books  deadpool is the strongest character!!! No one can beat him? Not even gods ?  Amazing,2024-06-16T12:09:20Z
@coolking4715,"<a href=""https://www.youtube.com/watch?v=73_1biulkYk&amp;t=102"">1:42</a> is so satisfying",2024-06-16T11:27:04Z
@zackaryw8407,"Do you wanna build a snowman? Yes, but I can’t!!! 😂😂😂",2024-06-16T08:27:59Z
@jacquelinejoytan1427,"<a href=""https://www.youtube.com/watch?v=73_1biulkYk&amp;t=148"">2:28</a> even &quot;No No Snow&quot;?",2024-06-16T07:03:32Z
@mohammadmashab7354,Bahi app nay iron man 4 mean girl iron man kyou karhi 😡😡😡 miss tony stark😭😭😭😭😭😭😭😭,2024-06-16T05:38:01Z
@kcdiazWTV,Oh man this going to bomb so hard.,2024-06-16T04:56:46Z
@vishwajeetkumbhar100,English medium itni gaali baki hai to Hindi wale to Garda uda denge 😅😅😅,2024-06-16T04:32:44Z
@diosdadodionisio7335,X-MEN and X-FORCE,2024-06-16T04:14:19Z
@diosdadodionisio7335,Wade meets Logan,2024-06-16T04:13:40Z
@gandalf0987,Only in a sick and screwed up world of 2024 do we get dumpster fires like this.,2024-06-16T02:34:58Z
@3Brandon2Warren6,Who else watches both trailers back to back every week 😅🤔,2024-06-16T01:29:43Z
@withalittlehelpfrom3,"I just realized that &quot;White Girl Interrupted&quot; joke is even funnier, because that movie was directed by James Mangold-the same guy who directed Logan and consulted on this movie!",2024-06-15T23:18:08Z
@MTT-ic3ci,Ryan way too funny bruh.,2024-06-15T22:25:06Z
@rianraby7825,This is gonna be so good! I can hardly wait for the opening weekend!,2024-06-15T21:43:52Z
@zaboknowsbest13,Wow i cant believe disney allowed this!,2024-06-15T19:46:13Z
@glamouriche5847,😍😍😍,2024-06-15T15:51:46Z
@saumitragautam6579,❤,2024-06-15T15:34:13Z
@VIKINGPOWER93,Wolverines claws did somehow not go all the way in between deadpools leg? Does he have something there?😂,2024-06-15T14:32:54Z
@TJ-uk9cw,Exmen,2024-06-15T14:23:49Z
@McHammer3294,I thought Logan died? I’m so confused. Did he heal?,2024-06-15T14:07:02Z
@reichcalebcruz7011,When Wolverine said &quot;trust me kid i&#39;m no hero&quot; that reminds me a lot of tobey maguire from the movie brothers,2024-06-15T11:19:50Z
